,Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Surf. Tension (N/m),Phase
361,498.14,2.5495,833.75,0.0011994,963.71,966.77,2.5639,3.2315,4.6498,1246.4,-0.049284,118.92,0.64105,0.031905,liquid
362,498.77,2.5794,832.94,0.0012006,966.58,969.68,2.5697,3.2295,4.6543,1244.1,-0.048117,118.58,0.64051,0.031759,liquid
363,499.39,2.6095,832.12,0.0012018,969.45,972.59,2.5754,3.2275,4.6589,1241.8,-0.046940,118.23,0.63997,0.031614,liquid
364,500.01,2.6399,831.29,0.0012029,972.32,975.50,2.5812,3.2255,4.6636,1239.5,-0.045753,117.89,0.63943,0.031469,liquid
365,500.64,2.6706,830.47,0.0012041,975.20,978.41,2.5869,3.2235,4.6683,1237.2,-0.044557,117.55,0.63888,0.031323,liquid
366,501.26,2.7016,829.64,0.0012053,978.07,981.33,2.5927,3.2215,4.6730,1234.9,-0.043351,117.21,0.63832,0.031178,liquid
367,501.88,2.7328,828.81,0.0012065,980.95,984.25,2.5984,3.2195,4.6777,1232.5,-0.042135,116.87,0.63777,0.031032,liquid
368,502.51,2.7643,827.98,0.0012078,983.83,987.17,2.6042,3.2175,4.6826,1230.2,-0.040909,116.54,0.63721,0.030887,liquid
369,503.13,2.7961,827.15,0.0012090,986.72,990.10,2.6099,3.2156,4.6874,1227.8,-0.039673,116.20,0.63665,0.030741,liquid
370,503.75,2.8282,826.31,0.0012102,989.60,993.03,2.6157,3.2136,4.6923,1225.5,-0.038426,115.87,0.63608,0.030595,liquid
371,504.38,2.8605,825.47,0.0012114,992.49,995.96,2.6214,3.2117,4.6973,1223.1,-0.037170,115.54,0.63551,0.030450,liquid
372,505.00,2.8932,824.63,0.0012127,995.39,998.89,2.6271,3.2097,4.7022,1220.8,-0.035903,115.21,0.63494,0.030304,liquid
373,505.62,2.9261,823.78,0.0012139,998.28,1001.8,2.6329,3.2078,4.7073,1218.4,-0.034625,114.88,0.63437,0.030158,liquid
374,506.25,2.9593,822.93,0.0012152,1001.2,1004.8,2.6386,3.2059,4.7124,1216.0,-0.033336,114.56,0.63379,0.030012,liquid
375,506.87,2.9928,822.08,0.0012164,1004.1,1007.7,2.6443,3.2040,4.7175,1213.6,-0.032037,114.24,0.63321,0.029866,liquid
376,507.49,3.0266,821.23,0.0012177,1007.0,1010.7,2.6501,3.2020,4.7227,1211.2,-0.030727,113.91,0.63262,0.029720,liquid
377,508.12,3.0607,820.37,0.0012190,1009.9,1013.6,2.6558,3.2001,4.7279,1208.8,-0.029405,113.59,0.63203,0.029574,liquid
378,508.74,3.0951,819.52,0.0012202,1012.8,1016.6,2.6615,3.1982,4.7332,1206.4,-0.028073,113.27,0.63144,0.029428,liquid
379,509.36,3.1297,818.65,0.0012215,1015.7,1019.5,2.6672,3.1964,4.7385,1203.9,-0.026729,112.95,0.63085,0.029282,liquid
380,509.99,3.1647,817.79,0.0012228,1018.6,1022.5,2.6730,3.1945,4.7439,1201.5,-0.025373,112.64,0.63025,0.029136,liquid
381,510.61,3.2000,816.93,0.0012241,1021.5,1025.4,2.6787,3.1926,4.7493,1199.1,-0.024006,112.32,0.62965,0.028990,liquid
382,511.23,3.2356,816.06,0.0012254,1024.4,1028.4,2.6844,3.1907,4.7547,1196.6,-0.022627,112.01,0.62905,0.028844,liquid
383,511.86,3.2714,815.18,0.0012267,1027.4,1031.4,2.6901,3.1889,4.7603,1194.2,-0.021236,111.70,0.62844,0.028698,liquid
384,512.48,3.3076,814.31,0.0012280,1030.3,1034.3,2.6958,3.1870,4.7658,1191.7,-0.019833,111.39,0.62783,0.028551,liquid
385,513.10,3.3441,813.43,0.0012294,1033.2,1037.3,2.7015,3.1852,4.7715,1189.2,-0.018417,111.08,0.62722,0.028405,liquid
386,513.73,3.3809,812.55,0.0012307,1036.1,1040.3,2.7073,3.1833,4.7772,1186.7,-0.016989,110.77,0.62660,0.028259,liquid
387,514.35,3.4180,811.67,0.0012320,1039.1,1043.3,2.7130,3.1815,4.7829,1184.3,-0.015549,110.47,0.62598,0.028112,liquid
388,514.97,3.4554,810.78,0.0012334,1042.0,1046.3,2.7187,3.1797,4.7887,1181.8,-0.014096,110.16,0.62536,0.027966,liquid
389,515.60,3.4932,809.90,0.0012347,1044.9,1049.3,2.7244,3.1779,4.7945,1179.3,-0.012630,109.86,0.62473,0.027820,liquid
390,516.22,3.5312,809.00,0.0012361,1047.9,1052.3,2.7301,3.1761,4.8004,1176.7,-0.011151,109.56,0.62410,0.027673,liquid
391,516.84,3.5696,808.11,0.0012375,1050.8,1055.2,2.7358,3.1743,4.8064,1174.2,-0.0096586,109.26,0.62347,0.027527,liquid
392,517.46,3.6083,807.21,0.0012388,1053.8,1058.2,2.7415,3.1725,4.8124,1171.7,-0.0081529,108.96,0.62283,0.027380,liquid
393,518.09,3.6473,806.31,0.0012402,1056.7,1061.2,2.7472,3.1707,4.8185,1169.2,-0.0066337,108.66,0.62219,0.027234,liquid
394,518.71,3.6866,805.41,0.0012416,1059.7,1064.3,2.7529,3.1689,4.8246,1166.6,-0.0051008,108.36,0.62155,0.027087,liquid
395,519.33,3.7263,804.51,0.0012430,1062.6,1067.3,2.7586,3.1672,4.8308,1164.1,-0.0035540,108.07,0.62091,0.026941,liquid
396,519.96,3.7662,803.60,0.0012444,1065.6,1070.3,2.7643,3.1654,4.8371,1161.5,-0.0019931,107.77,0.62026,0.026794,liquid
397,520.58,3.8065,802.68,0.0012458,1068.6,1073.3,2.7700,3.1636,4.8434,1158.9,-0.00041788,107.48,0.61961,0.026647,liquid
398,521.20,3.8472,801.77,0.0012472,1071.5,1076.3,2.7757,3.1619,4.8498,1156.3,0.0011718,107.19,0.61895,0.026501,liquid
399,521.83,3.8881,800.85,0.0012487,1074.5,1079.3,2.7814,3.1602,4.8562,1153.8,0.0027761,106.90,0.61829,0.026354,liquid
400,522.45,3.9294,799.93,0.0012501,1077.5,1082.4,2.7871,3.1584,4.8627,1151.2,0.0043952,106.61,0.61763,0.026208,liquid
401,523.07,3.9711,799.01,0.0012516,1080.4,1085.4,2.7928,3.1567,4.8693,1148.6,0.0060294,106.32,0.61697,0.026061,liquid
402,523.70,4.0130,798.08,0.0012530,1083.4,1088.4,2.7985,3.1550,4.8760,1146.0,0.0076788,106.03,0.61630,0.025914,liquid
403,524.32,4.0553,797.15,0.0012545,1086.4,1091.5,2.8042,3.1533,4.8827,1143.3,0.0093436,105.75,0.61563,0.025768,liquid
404,524.94,4.0980,796.22,0.0012559,1089.4,1094.5,2.8099,3.1516,4.8895,1140.7,0.011024,105.46,0.61496,0.025621,liquid
405,525.57,4.1410,795.28,0.0012574,1092.4,1097.6,2.8156,3.1499,4.8963,1138.1,0.012720,105.18,0.61428,0.025474,liquid
406,526.19,4.1843,794.34,0.0012589,1095.3,1100.6,2.8213,3.1483,4.9032,1135.4,0.014433,104.90,0.61360,0.025327,liquid
407,526.81,4.2280,793.40,0.0012604,1098.3,1103.7,2.8270,3.1466,4.9102,1132.8,0.016162,104.61,0.61291,0.025181,liquid
408,527.44,4.2720,792.45,0.0012619,1101.3,1106.7,2.8327,3.1449,4.9173,1130.1,0.017907,104.33,0.61223,0.025034,liquid
409,528.06,4.3164,791.50,0.0012634,1104.3,1109.8,2.8384,3.1433,4.9244,1127.4,0.019669,104.05,0.61154,0.024887,liquid
410,528.68,4.3612,790.55,0.0012649,1107.3,1112.9,2.8441,3.1416,4.9316,1124.8,0.021448,103.78,0.61084,0.024741,liquid
411,529.31,4.4062,789.59,0.0012665,1110.3,1115.9,2.8498,3.1400,4.9389,1122.1,0.023244,103.50,0.61015,0.024594,liquid
412,529.93,4.4517,788.64,0.0012680,1113.4,1119.0,2.8555,3.1384,4.9463,1119.4,0.025058,103.22,0.60945,0.024447,liquid
413,530.55,4.4975,787.67,0.0012696,1116.4,1122.1,2.8612,3.1368,4.9537,1116.7,0.026889,102.95,0.60875,0.024300,liquid
414,531.18,4.5436,786.71,0.0012711,1119.4,1125.2,2.8669,3.1352,4.9613,1114.0,0.028738,102.67,0.60804,0.024154,liquid
415,531.80,4.5902,785.74,0.0012727,1122.4,1128.3,2.8726,3.1336,4.9689,1111.3,0.030606,102.40,0.60733,0.024007,liquid
416,532.42,4.6371,784.77,0.0012743,1125.4,1131.3,2.8783,3.1320,4.9765,1108.5,0.032491,102.13,0.60662,0.023860,liquid
417,533.05,4.6843,783.79,0.0012759,1128.5,1134.4,2.8840,3.1304,4.9843,1105.8,0.034396,101.86,0.60590,0.023713,liquid
418,533.67,4.7319,782.81,0.0012774,1131.5,1137.5,2.8897,3.1288,4.9922,1103.0,0.036320,101.59,0.60518,0.023567,liquid
419,534.29,4.7799,781.83,0.0012791,1134.5,1140.6,2.8954,3.1273,5.0001,1100.3,0.038262,101.32,0.60446,0.023420,liquid
420,534.92,4.8283,780.84,0.0012807,1137.6,1143.8,2.9011,3.1257,5.0081,1097.5,0.040225,101.05,0.60373,0.023273,liquid
421,535.54,4.8770,779.85,0.0012823,1140.6,1146.9,2.9068,3.1242,5.0162,1094.8,0.042207,100.78,0.60300,0.023127,liquid
422,536.16,4.9261,778.86,0.0012839,1143.7,1150.0,2.9125,3.1227,5.0244,1092.0,0.044209,100.52,0.60227,0.022980,liquid
423,536.78,4.9756,777.86,0.0012856,1146.7,1153.1,2.9182,3.1211,5.0327,1089.2,0.046232,100.25,0.60154,0.022833,liquid
424,537.41,5.0254,776.86,0.0012872,1149.8,1156.2,2.9239,3.1196,5.0411,1086.4,0.048275,99.986,0.60080,0.022687,liquid
425,538.03,5.0757,775.85,0.0012889,1152.8,1159.4,2.9296,3.1181,5.0496,1083.6,0.050340,99.722,0.60006,0.022540,liquid
426,538.65,5.1263,774.85,0.0012906,1155.9,1162.5,2.9353,3.1166,5.0582,1080.8,0.052425,99.459,0.59931,0.022394,liquid
427,539.28,5.1773,773.83,0.0012923,1159.0,1165.6,2.9410,3.1151,5.0668,1077.9,0.054533,99.196,0.59856,0.022247,liquid
428,539.90,5.2287,772.82,0.0012940,1162.0,1168.8,2.9467,3.1137,5.0756,1075.1,0.056662,98.935,0.59781,0.022100,liquid
429,540.52,5.2805,771.80,0.0012957,1165.1,1171.9,2.9524,3.1122,5.0845,1072.2,0.058813,98.674,0.59705,0.021954,liquid
430,541.15,5.3327,770.78,0.0012974,1168.2,1175.1,2.9581,3.1108,5.0935,1069.4,0.060987,98.415,0.59630,0.021807,liquid
431,541.77,5.3852,769.75,0.0012991,1171.3,1178.3,2.9639,3.1093,5.1025,1066.5,0.063185,98.156,0.59553,0.021661,liquid
432,542.39,5.4382,768.72,0.0013009,1174.3,1181.4,2.9696,3.1079,5.1117,1063.7,0.065405,97.897,0.59477,0.021514,liquid
433,543.02,5.4916,767.68,0.0013026,1177.4,1184.6,2.9753,3.1065,5.1210,1060.8,0.067649,97.640,0.59400,0.021368,liquid
434,543.64,5.5453,766.64,0.0013044,1180.5,1187.8,2.9810,3.1050,5.1304,1057.9,0.069917,97.383,0.59323,0.021222,liquid
435,544.26,5.5995,765.60,0.0013062,1183.6,1190.9,2.9867,3.1036,5.1399,1055.0,0.072210,97.127,0.59245,0.021075,liquid
436,544.89,5.6540,764.55,0.0013080,1186.7,1194.1,2.9924,3.1023,5.1496,1052.1,0.074527,96.872,0.59167,0.020929,liquid
437,545.51,5.7090,763.50,0.0013098,1189.8,1197.3,2.9982,3.1009,5.1593,1049.2,0.076870,96.617,0.59089,0.020783,liquid
438,546.13,5.7644,762.45,0.0013116,1193.0,1200.5,3.0039,3.0995,5.1692,1046.2,0.079238,96.364,0.59011,0.020636,liquid
439,546.76,5.8202,761.39,0.0013134,1196.1,1203.7,3.0096,3.0982,5.1791,1043.3,0.081632,96.110,0.58932,0.020490,liquid
440,547.38,5.8764,760.33,0.0013152,1199.2,1206.9,3.0153,3.0968,5.1892,1040.4,0.084052,95.858,0.58852,0.020344,liquid
441,548.00,5.9330,759.26,0.0013171,1202.3,1210.1,3.0211,3.0955,5.1995,1037.4,0.086500,95.606,0.58773,0.020198,liquid
442,548.63,5.9900,758.19,0.0013189,1205.5,1213.4,3.0268,3.0942,5.2098,1034.4,0.088974,95.355,0.58693,0.020052,liquid
443,549.25,6.0474,757.11,0.0013208,1208.6,1216.6,3.0325,3.0928,5.2203,1031.5,0.091476,95.104,0.58613,0.019906,liquid
444,549.87,6.1053,756.03,0.0013227,1211.7,1219.8,3.0383,3.0915,5.2309,1028.5,0.094007,94.854,0.58532,0.019760,liquid
445,550.50,6.1636,754.94,0.0013246,1214.9,1223.0,3.0440,3.0903,5.2416,1025.5,0.096566,94.605,0.58451,0.019614,liquid
446,551.12,6.2223,753.86,0.0013265,1218.0,1226.3,3.0497,3.0890,5.2525,1022.5,0.099154,94.356,0.58370,0.019468,liquid
447,551.74,6.2814,752.76,0.0013284,1221.2,1229.5,3.0555,3.0877,5.2635,1019.5,0.10177,94.108,0.58288,0.019322,liquid
448,552.37,6.3410,751.66,0.0013304,1224.3,1232.8,3.0612,3.0865,5.2747,1016.4,0.10442,93.861,0.58206,0.019176,liquid
449,552.99,6.4010,750.56,0.0013323,1227.5,1236.0,3.0670,3.0852,5.2860,1013.4,0.10710,93.614,0.58124,0.019031,liquid
450,553.61,6.4614,749.45,0.0013343,1230.7,1239.3,3.0727,3.0840,5.2974,1010.3,0.10981,93.367,0.58041,0.018885,liquid
451,554.24,6.5223,748.34,0.0013363,1233.9,1242.6,3.0785,3.0828,5.3090,1007.3,0.11255,93.121,0.57958,0.018739,liquid
452,554.86,6.5836,747.23,0.0013383,1237.0,1245.8,3.0842,3.0816,5.3208,1004.2,0.11532,92.876,0.57875,0.018594,liquid
453,555.48,6.6453,746.10,0.0013403,1240.2,1249.1,3.0900,3.0804,5.3327,1001.1,0.11813,92.631,0.57791,0.018448,liquid
454,556.10,6.7075,744.98,0.0013423,1243.4,1252.4,3.0958,3.0792,5.3447,998.06,0.12096,92.387,0.57707,0.018303,liquid
455,556.73,6.7701,743.85,0.0013444,1246.6,1255.7,3.1015,3.0781,5.3570,994.97,0.12384,92.143,0.57623,0.018158,liquid
456,557.35,6.8332,742.71,0.0013464,1249.8,1259.0,3.1073,3.0769,5.3693,991.86,0.12674,91.900,0.57538,0.018012,liquid
457,557.97,6.8967,741.57,0.0013485,1253.0,1262.3,3.1131,3.0758,5.3819,988.74,0.12968,91.657,0.57453,0.017867,liquid
458,558.60,6.9607,740.43,0.0013506,1256.2,1265.6,3.1189,3.0747,5.3946,985.61,0.13266,91.414,0.57367,0.017722,liquid
459,559.22,7.0251,739.28,0.0013527,1259.4,1269.0,3.1246,3.0736,5.4075,982.48,0.13568,91.172,0.57281,0.017577,liquid
460,559.84,7.0900,738.12,0.0013548,1262.7,1272.3,3.1304,3.0725,5.4206,979.33,0.13873,90.931,0.57195,0.017432,liquid
461,560.47,7.1553,736.96,0.0013569,1265.9,1275.6,3.1362,3.0714,5.4339,976.17,0.14181,90.690,0.57109,0.017287,liquid
462,561.09,7.2211,735.79,0.0013591,1269.1,1278.9,3.1420,3.0703,5.4473,973.00,0.14494,90.449,0.57022,0.017142,liquid
463,561.71,7.2873,734.62,0.0013612,1272.4,1282.3,3.1478,3.0693,5.4609,969.81,0.14811,90.209,0.56934,0.016998,liquid
464,562.34,7.3541,733.45,0.0013634,1275.6,1285.6,3.1536,3.0683,5.4748,966.62,0.15131,89.969,0.56847,0.016853,liquid
465,562.96,7.4212,732.27,0.0013656,1278.9,1289.0,3.1594,3.0672,5.4888,963.42,0.15455,89.729,0.56759,0.016708,liquid
466,563.58,7.4889,731.08,0.0013678,1282.1,1292.4,3.1652,3.0662,5.5030,960.20,0.15784,89.490,0.56670,0.016564,liquid
467,564.21,7.5570,729.89,0.0013701,1285.4,1295.7,3.1711,3.0653,5.5175,956.98,0.16117,89.251,0.56581,0.016420,liquid
468,564.83,7.6256,728.69,0.0013723,1288.7,1299.1,3.1769,3.0643,5.5321,953.74,0.16454,89.013,0.56492,0.016275,liquid
469,565.45,7.6947,727.48,0.0013746,1291.9,1302.5,3.1827,3.0633,5.5470,950.49,0.16795,88.775,0.56403,0.016131,liquid
470,566.08,7.7642,726.28,0.0013769,1295.2,1305.9,3.1885,3.0624,5.5620,947.23,0.17141,88.537,0.56313,0.015987,liquid
471,566.70,7.8343,725.06,0.0013792,1298.5,1309.3,3.1944,3.0615,5.5774,943.96,0.17491,88.299,0.56222,0.015843,liquid
472,567.32,7.9048,723.84,0.0013815,1301.8,1312.7,3.2002,3.0606,5.5929,940.67,0.17846,88.062,0.56132,0.015699,liquid
473,567.95,7.9758,722.61,0.0013839,1305.1,1316.1,3.2061,3.0597,5.6087,937.38,0.18206,87.825,0.56041,0.015555,liquid
474,568.57,8.0473,721.38,0.0013862,1308.4,1319.6,3.2119,3.0588,5.6247,934.07,0.18570,87.588,0.55949,0.015412,liquid
475,569.19,8.1193,720.14,0.0013886,1311.7,1323.0,3.2178,3.0580,5.6410,930.75,0.18939,87.352,0.55857,0.015268,liquid
476,569.82,8.1917,718.90,0.0013910,1315.1,1326.5,3.2237,3.0571,5.6575,927.42,0.19313,87.116,0.55765,0.015125,liquid
477,570.44,8.2647,717.65,0.0013934,1318.4,1329.9,3.2295,3.0563,5.6743,924.08,0.19692,86.880,0.55672,0.014982,liquid
478,571.06,8.3382,716.39,0.0013959,1321.7,1333.4,3.2354,3.0555,5.6913,920.73,0.20077,86.644,0.55579,0.014838,liquid
479,571.69,8.4121,715.13,0.0013984,1325.1,1336.8,3.2413,3.0547,5.7086,917.36,0.20466,86.408,0.55486,0.014695,liquid
480,572.31,8.4866,713.86,0.0014008,1328.4,1340.3,3.2472,3.0540,5.7262,913.98,0.20861,86.173,0.55392,0.014552,liquid
481,572.93,8.5616,712.58,0.0014033,1331.8,1343.8,3.2531,3.0533,5.7441,910.59,0.21261,85.938,0.55298,0.014410,liquid
482,573.56,8.6370,711.30,0.0014059,1335.1,1347.3,3.2590,3.0525,5.7622,907.19,0.21667,85.703,0.55203,0.014267,liquid
483,574.18,8.7130,710.01,0.0014084,1338.5,1350.8,3.2649,3.0518,5.7807,903.77,0.22079,85.468,0.55108,0.014124,liquid
484,574.80,8.7895,708.72,0.0014110,1341.9,1354.3,3.2708,3.0512,5.7995,900.34,0.22496,85.233,0.55012,0.013982,liquid
485,575.42,8.8666,707.41,0.0014136,1345.3,1357.8,3.2768,3.0505,5.8186,896.90,0.22919,84.998,0.54917,0.013840,liquid
486,576.05,8.9441,706.11,0.0014162,1348.7,1361.3,3.2827,3.0499,5.8380,893.44,0.23349,84.764,0.54820,0.013697,liquid
487,576.67,9.0221,704.79,0.0014189,1352.1,1364.9,3.2887,3.0493,5.8577,889.98,0.23784,84.529,0.54724,0.013556,liquid
488,577.29,9.1007,703.47,0.0014215,1355.5,1368.4,3.2946,3.0487,5.8778,886.50,0.24226,84.295,0.54626,0.013414,liquid
489,577.92,9.1798,702.14,0.0014242,1358.9,1372.0,3.3006,3.0481,5.8982,883.00,0.24674,84.060,0.54529,0.013272,liquid
490,578.54,9.2595,700.80,0.0014269,1362.3,1375.5,3.3065,3.0476,5.9190,879.50,0.25129,83.826,0.54431,0.013130,liquid
491,579.16,9.3396,699.45,0.0014297,1365.8,1379.1,3.3125,3.0470,5.9402,875.97,0.25591,83.592,0.54332,0.012989,liquid
492,579.79,9.4203,698.10,0.0014325,1369.2,1382.7,3.3185,3.0465,5.9617,872.44,0.26059,83.358,0.54233,0.012848,liquid
493,580.41,9.5016,696.74,0.0014353,1372.7,1386.3,3.3245,3.0461,5.9836,868.89,0.26534,83.123,0.54134,0.012707,liquid
494,581.03,9.5833,695.37,0.0014381,1376.1,1389.9,3.3305,3.0456,6.0059,865.33,0.27017,82.889,0.54034,0.012566,liquid
495,581.66,9.6657,694.00,0.0014409,1379.6,1393.5,3.3365,3.0452,6.0286,861.76,0.27507,82.655,0.53934,0.012425,liquid
496,582.28,9.7485,692.61,0.0014438,1383.1,1397.1,3.3425,3.0448,6.0518,858.17,0.28004,82.421,0.53834,0.012285,liquid
497,582.90,9.8319,691.22,0.0014467,1386.6,1400.8,3.3486,3.0444,6.0753,854.56,0.28509,82.186,0.53732,0.012144,liquid
498,583.53,9.9159,689.82,0.0014496,1390.0,1404.4,3.3546,3.0441,6.0993,850.94,0.29022,81.952,0.53631,0.012004,liquid
499,584.15,10.000,688.42,0.0014526,1393.6,1408.1,3.3607,3.0438,6.1238,847.31,0.29543,81.717,0.53529,0.011864,liquid
500,584.77,10.085,687.00,0.0014556,1397.1,1411.8,3.3667,3.0435,6.1488,843.67,0.30071,81.483,0.53426,0.011724,liquid
501,585.40,10.171,685.58,0.0014586,1400.6,1415.4,3.3728,3.0432,6.1742,840.00,0.30609,81.248,0.53323,0.011584,liquid
502,586.02,10.257,684.14,0.0014617,1404.1,1419.1,3.3789,3.0430,6.2001,836.33,0.31155,81.013,0.53220,0.011445,liquid
503,586.64,10.344,682.70,0.0014648,1407.7,1422.8,3.3850,3.0428,6.2265,832.64,0.31709,80.778,0.53116,0.011306,liquid
504,587.27,10.431,681.25,0.0014679,1411.2,1426.5,3.3911,3.0427,6.2535,828.93,0.32273,80.543,0.53012,0.011167,liquid
505,587.89,10.519,679.79,0.0014710,1414.8,1430.3,3.3972,3.0425,6.2810,825.21,0.32846,80.307,0.52907,0.011028,liquid
506,588.51,10.608,678.32,0.0014742,1418.4,1434.0,3.4034,3.0424,6.3090,821.47,0.33428,80.072,0.52802,0.010889,liquid
507,589.14,10.697,676.85,0.0014774,1422.0,1437.8,3.4095,3.0423,6.3377,817.72,0.34020,79.836,0.52696,0.010751,liquid
508,589.76,10.786,675.36,0.0014807,1425.5,1441.5,3.4157,3.0423,6.3669,813.95,0.34621,79.600,0.52589,0.010612,liquid
509,590.38,10.877,673.86,0.0014840,1429.2,1445.3,3.4219,3.0423,6.3968,810.16,0.35233,79.364,0.52483,0.010474,liquid
510,591.01,10.967,672.36,0.0014873,1432.8,1449.1,3.4280,3.0424,6.4273,806.36,0.35855,79.127,0.52375,0.010337,liquid
511,591.63,11.059,670.84,0.0014907,1436.4,1452.9,3.4342,3.0424,6.4584,802.55,0.36488,78.890,0.52267,0.010199,liquid
512,592.25,11.151,669.31,0.0014941,1440.0,1456.7,3.4405,3.0425,6.4902,798.71,0.37132,78.653,0.52159,0.010062,liquid
513,592.88,11.243,667.77,0.0014975,1443.7,1460.5,3.4467,3.0427,6.5228,794.86,0.37787,78.415,0.52050,0.0099247,liquid
514,593.50,11.336,666.23,0.0015010,1447.4,1464.4,3.4529,3.0429,6.5560,790.99,0.38453,78.177,0.51941,0.0097879,liquid
515,594.12,11.430,664.67,0.0015045,1451.0,1468.2,3.4592,3.0431,6.5900,787.11,0.39131,77.939,0.51831,0.0096512,liquid
516,594.74,11.525,663.10,0.0015081,1454.7,1472.1,3.4655,3.0434,6.6248,783.21,0.39822,77.700,0.51721,0.0095149,liquid
517,595.37,11.620,661.52,0.0015117,1458.4,1476.0,3.4717,3.0437,6.6604,779.29,0.40524,77.461,0.51610,0.0093788,liquid
518,595.99,11.715,659.93,0.0015153,1462.1,1479.9,3.4781,3.0441,6.6968,775.35,0.41240,77.221,0.51498,0.0092429,liquid
519,596.61,11.811,658.33,0.0015190,1465.9,1483.8,3.4844,3.0445,6.7341,771.39,0.41968,76.981,0.51386,0.0091073,liquid
520,597.24,11.908,656.71,0.0015227,1469.6,1487.7,3.4907,3.0449,6.7723,767.41,0.42710,76.741,0.51273,0.0089720,liquid
521,597.86,12.006,655.09,0.0015265,1473.4,1491.7,3.4971,3.0454,6.8114,763.42,0.43466,76.499,0.51160,0.0088370,liquid
522,598.48,12.104,653.45,0.0015303,1477.1,1495.7,3.5035,3.0460,6.8515,759.41,0.44236,76.258,0.51046,0.0087022,liquid
523,599.11,12.202,651.80,0.0015342,1480.9,1499.6,3.5098,3.0466,6.8926,755.37,0.45021,76.015,0.50932,0.0085677,liquid
524,599.73,12.302,650.13,0.0015381,1484.7,1503.6,3.5163,3.0472,6.9347,751.32,0.45821,75.773,0.50817,0.0084335,liquid
525,600.35,12.402,648.46,0.0015421,1488.5,1507.6,3.5227,3.0479,6.9779,747.25,0.46637,75.529,0.50702,0.0082996,liquid
526,600.98,12.502,646.77,0.0015461,1492.3,1511.7,3.5291,3.0487,7.0222,743.16,0.47468,75.285,0.50586,0.0081660,liquid
527,601.60,12.604,645.07,0.0015502,1496.2,1515.7,3.5356,3.0495,7.0677,739.04,0.48316,75.040,0.50469,0.0080327,liquid
528,602.22,12.705,643.35,0.0015544,1500.0,1519.8,3.5421,3.0504,7.1145,734.91,0.49181,74.794,0.50352,0.0078997,liquid
529,602.85,12.808,641.62,0.0015586,1503.9,1523.9,3.5486,3.0513,7.1625,730.75,0.50064,74.548,0.50234,0.0077670,liquid
530,603.47,12.911,639.88,0.0015628,1507.8,1528.0,3.5552,3.0523,7.2119,726.57,0.50965,74.301,0.50115,0.0076347,liquid
531,604.09,13.015,638.12,0.0015671,1511.7,1532.1,3.5617,3.0534,7.2626,722.36,0.51884,74.053,0.49996,0.0075026,liquid
532,604.72,13.119,636.34,0.0015715,1515.6,1536.2,3.5683,3.0545,7.3148,718.14,0.52823,73.804,0.49877,0.0073709,liquid
533,605.34,13.225,634.55,0.0015759,1519.6,1540.4,3.5749,3.0557,7.3686,713.89,0.53782,73.554,0.49756,0.0072396,liquid
534,605.96,13.331,632.75,0.0015804,1523.5,1544.6,3.5816,3.0570,7.4239,709.61,0.54761,73.304,0.49635,0.0071086,liquid
535,606.59,13.437,630.93,0.0015850,1527.5,1548.8,3.5882,3.0584,7.4809,705.31,0.55762,73.052,0.49514,0.0069780,liquid
536,607.21,13.544,629.09,0.0015896,1531.5,1553.0,3.5949,3.0598,7.5397,700.98,0.56785,72.799,0.49391,0.0068477,liquid
537,607.83,13.652,627.24,0.0015943,1535.5,1557.3,3.6016,3.0613,7.6003,696.63,0.57831,72.546,0.49269,0.0067178,liquid
538,608.46,13.761,625.37,0.0015991,1539.5,1561.6,3.6084,3.0629,7.6628,692.25,0.58901,72.291,0.49145,0.0065882,liquid
539,609.08,13.870,623.48,0.0016039,1543.6,1565.8,3.6151,3.0646,7.7274,687.84,0.59996,72.035,0.49021,0.0064591,liquid
540,609.70,13.980,621.57,0.0016088,1547.7,1570.2,3.6219,3.0664,7.7942,683.40,0.61116,71.778,0.48896,0.0063303,liquid
541,610.33,14.090,619.64,0.0016138,1551.8,1574.5,3.6287,3.0683,7.8632,678.93,0.62263,71.519,0.48770,0.0062019,liquid
542,610.95,14.202,617.70,0.0016189,1555.9,1578.9,3.6356,3.0702,7.9346,674.43,0.63437,71.260,0.48644,0.0060740,liquid
543,611.57,14.314,615.73,0.0016241,1560.0,1583.3,3.6425,3.0723,8.0085,669.89,0.64641,70.999,0.48517,0.0059465,liquid
544,612.20,14.427,613.75,0.0016293,1564.2,1587.7,3.6494,3.0745,8.0851,665.33,0.65874,70.736,0.48390,0.0058194,liquid
545,612.82,14.540,611.74,0.0016347,1568.4,1592.2,3.6564,3.0768,8.1645,660.73,0.67138,70.472,0.48262,0.0056927,liquid
546,613.44,14.654,609.72,0.0016401,1572.6,1596.6,3.6634,3.0793,8.2469,656.09,0.68435,70.207,0.48133,0.0055664,liquid
547,614.06,14.769,607.67,0.0016456,1576.8,1601.1,3.6704,3.0818,8.3325,651.42,0.69767,69.939,0.48003,0.0054407,liquid
548,614.69,14.885,605.59,0.0016513,1581.1,1605.7,3.6775,3.0845,8.4215,646.70,0.71133,69.671,0.47873,0.0053153,liquid
