,Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Surf. Tension (N/m),Phase
141,361.03,0.064730,966.70,0.0010344,368.08,368.14,1.1683,3.8315,4.2033,1551.5,-0.18523,321.93,0.67166,0.061213,liquid
142,361.66,0.066298,966.29,0.0010349,370.70,370.76,1.1756,3.8282,4.2039,1551.2,-0.18487,319.60,0.67199,0.061096,liquid
143,362.28,0.067898,965.88,0.0010353,373.32,373.39,1.1828,3.8250,4.2045,1550.9,-0.18452,317.31,0.67232,0.060979,liquid
144,362.90,0.069530,965.46,0.0010358,375.94,376.01,1.1900,3.8217,4.2050,1550.5,-0.18416,315.05,0.67265,0.060862,liquid
145,363.53,0.071195,965.04,0.0010362,378.56,378.63,1.1972,3.8184,4.2056,1550.2,-0.18381,312.82,0.67296,0.060745,liquid
146,364.15,0.072893,964.62,0.0010367,381.18,381.25,1.2044,3.8151,4.2062,1549.8,-0.18345,310.61,0.67328,0.060628,liquid
147,364.77,0.074624,964.20,0.0010371,383.80,383.87,1.2116,3.8119,4.2068,1549.4,-0.18309,308.43,0.67358,0.060510,liquid
148,365.40,0.076390,963.77,0.0010376,386.42,386.50,1.2188,3.8086,4.2074,1549.0,-0.18273,306.28,0.67389,0.060392,liquid
149,366.02,0.078190,963.35,0.0010380,389.04,389.12,1.2260,3.8054,4.2080,1548.6,-0.18237,304.15,0.67418,0.060274,liquid
150,366.64,0.080025,962.92,0.0010385,391.66,391.75,1.2331,3.8021,4.2087,1548.2,-0.18201,302.05,0.67447,0.060156,liquid
151,367.27,0.081896,962.49,0.0010390,394.29,394.37,1.2403,3.7988,4.2093,1547.8,-0.18165,299.98,0.67476,0.060038,liquid
152,367.89,0.083803,962.06,0.0010394,396.91,397.00,1.2474,3.7956,4.2099,1547.4,-0.18129,297.93,0.67504,0.059919,liquid
153,368.51,0.085747,961.63,0.0010399,399.53,399.62,1.2545,3.7923,4.2106,1546.9,-0.18092,295.90,0.67532,0.059800,liquid
154,369.14,0.087729,961.19,0.0010404,402.16,402.25,1.2617,3.7891,4.2112,1546.4,-0.18056,293.90,0.67559,0.059682,liquid
155,369.76,0.089748,960.76,0.0010408,404.78,404.87,1.2688,3.7858,4.2119,1546.0,-0.18020,291.93,0.67585,0.059563,liquid
156,370.38,0.091805,960.32,0.0010413,407.40,407.50,1.2759,3.7826,4.2126,1545.5,-0.17983,289.97,0.67612,0.059443,liquid
157,371.01,0.093902,959.88,0.0010418,410.03,410.13,1.2829,3.7793,4.2133,1545.0,-0.17946,288.04,0.67637,0.059324,liquid
158,371.63,0.096038,959.43,0.0010423,412.65,412.75,1.2900,3.7761,4.2140,1544.5,-0.17909,286.14,0.67662,0.059204,liquid
159,372.25,0.098214,958.99,0.0010428,415.28,415.38,1.2971,3.7728,4.2147,1543.9,-0.17872,284.25,0.67687,0.059085,liquid
160,372.88,0.10043,958.55,0.0010432,417.91,418.01,1.3041,3.7696,4.2154,1543.4,-0.17835,282.39,0.67711,0.058965,liquid
161,373.50,0.10269,958.10,0.0010437,420.53,420.64,1.3112,3.7663,4.2161,1542.8,-0.17798,280.55,0.67734,0.058844,liquid
162,374.12,0.10499,957.65,0.0010442,423.16,423.27,1.3182,3.7631,4.2168,1542.3,-0.17761,278.73,0.67757,0.058724,liquid
163,374.75,0.10733,957.20,0.0010447,425.79,425.90,1.3252,3.7599,4.2175,1541.7,-0.17724,276.94,0.67780,0.058604,liquid
164,375.37,0.10972,956.75,0.0010452,428.42,428.53,1.3322,3.7567,4.2183,1541.1,-0.17686,275.16,0.67802,0.058483,liquid
165,375.99,0.11215,956.29,0.0010457,431.04,431.16,1.3392,3.7534,4.2190,1540.5,-0.17649,273.40,0.67823,0.058362,liquid
166,376.62,0.11462,955.83,0.0010462,433.67,433.79,1.3462,3.7502,4.2198,1539.9,-0.17611,271.67,0.67844,0.058241,liquid
167,377.24,0.11714,955.38,0.0010467,436.30,436.43,1.3532,3.7470,4.2206,1539.3,-0.17573,269.95,0.67865,0.058120,liquid
168,377.86,0.11970,954.92,0.0010472,438.93,439.06,1.3601,3.7438,4.2213,1538.7,-0.17535,268.26,0.67885,0.057999,liquid
169,378.49,0.12231,954.46,0.0010477,441.56,441.69,1.3671,3.7406,4.2221,1538.1,-0.17497,266.58,0.67904,0.057877,liquid
170,379.11,0.12497,953.99,0.0010482,444.19,444.32,1.3740,3.7374,4.2229,1537.4,-0.17459,264.92,0.67923,0.057755,liquid
171,379.73,0.12767,953.53,0.0010487,446.82,446.96,1.3810,3.7342,4.2237,1536.7,-0.17420,263.28,0.67942,0.057634,liquid
