,Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
54,306.81,0.0052262,0.036992,27.033,2420.9,2562.1,8.3781,1.4488,1.9227,432.50,220.73,9.9782,0.019048,vapor
55,307.44,0.0054109,0.038223,26.162,2421.7,2563.3,8.3657,1.4494,1.9236,432.92,217.26,9.9984,0.019093,vapor
56,308.06,0.0056013,0.039490,25.323,2422.5,2564.4,8.3534,1.4500,1.9244,433.33,213.85,10.019,0.019138,vapor
57,308.68,0.0057974,0.040792,24.515,2423.4,2565.5,8.3412,1.4507,1.9252,433.75,210.53,10.039,0.019183,vapor
58,309.31,0.0059994,0.042131,23.736,2424.2,2566.6,8.3291,1.4513,1.9261,434.17,207.28,10.059,0.019228,vapor
59,309.93,0.0062075,0.043507,22.985,2425.1,2567.7,8.3170,1.4519,1.9269,434.58,204.09,10.079,0.019273,vapor
60,310.55,0.0064218,0.044921,22.261,2425.9,2568.9,8.3050,1.4526,1.9278,434.99,200.98,10.100,0.019319,vapor
61,311.18,0.0066425,0.046374,21.564,2426.7,2570.0,8.2930,1.4532,1.9286,435.41,197.94,10.120,0.019364,vapor
62,311.80,0.0068697,0.047867,20.891,2427.6,2571.1,8.2811,1.4538,1.9295,435.82,194.96,10.141,0.019410,vapor
63,312.42,0.0071036,0.049401,20.242,2428.4,2572.2,8.2693,1.4545,1.9304,436.23,192.05,10.161,0.019456,vapor
64,313.05,0.0073443,0.050977,19.617,2429.3,2573.3,8.2575,1.4551,1.9313,436.64,189.20,10.181,0.019502,vapor
65,313.67,0.0075920,0.052595,19.013,2430.1,2574.4,8.2458,1.4558,1.9322,437.05,186.41,10.202,0.019548,vapor
66,314.29,0.0078470,0.054256,18.431,2430.9,2575.6,8.2341,1.4564,1.9331,437.46,183.68,10.222,0.019594,vapor
