,Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
401,523.07,3.9711,19.940,0.050149,2601.8,2801.0,6.0726,2.4648,4.0084,501.64,16.068,17.426,0.050314,vapor
402,523.70,4.0130,20.157,0.049610,2601.7,2800.8,6.0682,2.4703,4.0257,501.51,15.988,17.450,0.050498,vapor
403,524.32,4.0553,20.376,0.049077,2601.5,2800.6,6.0638,2.4758,4.0430,501.38,15.907,17.473,0.050684,vapor
404,524.94,4.0980,20.597,0.048550,2601.4,2800.3,6.0595,2.4813,4.0606,501.24,15.827,17.496,0.050871,vapor
405,525.57,4.1410,20.821,0.048030,2601.2,2800.1,6.0551,2.4868,4.0783,501.11,15.748,17.520,0.051058,vapor
406,526.19,4.1843,21.046,0.047515,2601.1,2799.9,6.0507,2.4924,4.0961,500.97,15.669,17.543,0.051248,vapor
407,526.81,4.2280,21.273,0.047008,2600.9,2799.6,6.0463,2.4980,4.1142,500.82,15.591,17.567,0.051438,vapor
408,527.44,4.2720,21.503,0.046506,2600.7,2799.4,6.0419,2.5035,4.1324,500.68,15.513,17.590,0.051629,vapor
409,528.06,4.3164,21.734,0.046010,2600.5,2799.1,6.0375,2.5091,4.1507,500.53,15.435,17.614,0.051822,vapor
410,528.68,4.3612,21.968,0.045520,2600.3,2798.8,6.0331,2.5147,4.1693,500.38,15.358,17.638,0.052016,vapor
411,529.31,4.4062,22.205,0.045036,2600.1,2798.6,6.0287,2.5204,4.1880,500.22,15.281,17.662,0.052212,vapor
412,529.93,4.4517,22.443,0.044557,2599.9,2798.3,6.0243,2.5260,4.2069,500.07,15.205,17.685,0.052408,vapor
413,530.55,4.4975,22.684,0.044085,2599.7,2798.0,6.0200,2.5317,4.2260,499.91,15.130,17.709,0.052606,vapor
414,531.18,4.5436,22.927,0.043617,2599.5,2797.7,6.0156,2.5374,4.2452,499.74,15.054,17.733,0.052806,vapor
415,531.80,4.5902,23.172,0.043156,2599.2,2797.3,6.0112,2.5431,4.2647,499.58,14.979,17.757,0.053006,vapor
416,532.42,4.6371,23.420,0.042699,2599.0,2797.0,6.0067,2.5488,4.2844,499.41,14.905,17.781,0.053209,vapor
417,533.05,4.6843,23.670,0.042248,2598.8,2796.7,6.0023,2.5545,4.3042,499.24,14.831,17.805,0.053412,vapor
418,533.67,4.7319,23.922,0.041803,2598.5,2796.3,5.9979,2.5603,4.3242,499.06,14.758,17.830,0.053617,vapor
419,534.29,4.7799,24.177,0.041362,2598.2,2796.0,5.9935,2.5661,4.3445,498.88,14.685,17.854,0.053823,vapor
420,534.92,4.8283,24.434,0.040927,2598.0,2795.6,5.9891,2.5719,4.3649,498.70,14.612,17.878,0.054031,vapor
421,535.54,4.8770,24.694,0.040496,2597.7,2795.2,5.9847,2.5777,4.3856,498.52,14.540,17.903,0.054241,vapor
422,536.16,4.9261,24.956,0.040071,2597.4,2794.8,5.9803,2.5835,4.4065,498.33,14.468,17.927,0.054451,vapor
423,536.78,4.9756,25.220,0.039650,2597.1,2794.4,5.9758,2.5893,4.4276,498.14,14.397,17.952,0.054664,vapor
424,537.41,5.0254,25.488,0.039235,2596.8,2794.0,5.9714,2.5952,4.4489,497.94,14.326,17.977,0.054878,vapor
425,538.03,5.0757,25.757,0.038824,2596.5,2793.6,5.9670,2.6011,4.4704,497.75,14.255,18.001,0.055093,vapor
426,538.65,5.1263,26.030,0.038418,2596.2,2793.1,5.9625,2.6070,4.4922,497.55,14.185,18.026,0.055310,vapor
427,539.28,5.1773,26.305,0.038016,2595.9,2792.7,5.9581,2.6129,4.5142,497.34,14.115,18.051,0.055529,vapor
428,539.90,5.2287,26.582,0.037619,2595.5,2792.2,5.9537,2.6189,4.5364,497.13,14.046,18.076,0.055749,vapor
429,540.52,5.2805,26.863,0.037227,2595.2,2791.8,5.9492,2.6248,4.5589,496.92,13.977,18.101,0.055971,vapor
430,541.15,5.3327,27.145,0.036839,2594.9,2791.3,5.9448,2.6308,4.5816,496.71,13.908,18.126,0.056195,vapor
431,541.77,5.3852,27.431,0.036455,2594.5,2790.8,5.9403,2.6368,4.6045,496.49,13.840,18.151,0.056420,vapor
432,542.39,5.4382,27.720,0.036075,2594.1,2790.3,5.9358,2.6428,4.6278,496.27,13.772,18.177,0.056648,vapor
433,543.02,5.4916,28.011,0.035700,2593.8,2789.8,5.9314,2.6489,4.6512,496.05,13.704,18.202,0.056877,vapor
434,543.64,5.5453,28.305,0.035330,2593.4,2789.3,5.9269,2.6550,4.6750,495.82,13.637,18.228,0.057107,vapor
435,544.26,5.5995,28.602,0.034963,2593.0,2788.8,5.9224,2.6610,4.6989,495.59,13.571,18.253,0.057340,vapor
436,544.89,5.6540,28.902,0.034600,2592.6,2788.2,5.9179,2.6672,4.7232,495.36,13.504,18.279,0.057574,vapor
437,545.51,5.7090,29.204,0.034241,2592.2,2787.7,5.9134,2.6733,4.7478,495.12,13.438,18.305,0.057811,vapor
438,546.13,5.7644,29.510,0.033887,2591.7,2787.1,5.9090,2.6794,4.7726,494.88,13.373,18.331,0.058049,vapor
439,546.76,5.8202,29.819,0.033536,2591.3,2786.5,5.9045,2.6856,4.7977,494.64,13.307,18.357,0.058290,vapor
440,547.38,5.8764,30.130,0.033189,2590.9,2785.9,5.8999,2.6918,4.8231,494.39,13.242,18.383,0.058532,vapor
441,548.00,5.9330,30.445,0.032846,2590.4,2785.3,5.8954,2.6980,4.8488,494.14,13.178,18.409,0.058776,vapor
442,548.63,5.9900,30.763,0.032507,2590.0,2784.7,5.8909,2.7043,4.8748,493.88,13.113,18.435,0.059023,vapor
443,549.25,6.0474,31.084,0.032171,2589.5,2784.1,5.8864,2.7105,4.9011,493.63,13.050,18.462,0.059271,vapor
444,549.87,6.1053,31.408,0.031840,2589.0,2783.4,5.8819,2.7168,4.9277,493.36,12.986,18.488,0.059522,vapor
445,550.50,6.1636,31.735,0.031511,2588.6,2782.8,5.8773,2.7232,4.9546,493.10,12.923,18.515,0.059775,vapor
446,551.12,6.2223,32.065,0.031187,2588.1,2782.1,5.8728,2.7295,4.9819,492.83,12.860,18.542,0.060030,vapor
447,551.74,6.2814,32.399,0.030865,2587.6,2781.4,5.8682,2.7358,5.0095,492.56,12.797,18.568,0.060288,vapor
448,552.37,6.3410,32.736,0.030548,2587.0,2780.8,5.8637,2.7422,5.0374,492.28,12.735,18.595,0.060547,vapor
449,552.99,6.4010,33.076,0.030233,2586.5,2780.1,5.8591,2.7486,5.0657,492.00,12.673,18.622,0.060809,vapor
450,553.61,6.4614,33.420,0.029922,2586.0,2779.3,5.8545,2.7551,5.0944,491.71,12.611,18.650,0.061074,vapor
451,554.24,6.5223,33.767,0.029615,2585.5,2778.6,5.8499,2.7615,5.1234,491.43,12.550,18.677,0.061341,vapor
452,554.86,6.5836,34.117,0.029311,2584.9,2777.9,5.8453,2.7680,5.1527,491.13,12.489,18.705,0.061610,vapor
453,555.48,6.6453,34.471,0.029009,2584.3,2777.1,5.8407,2.7745,5.1824,490.84,12.428,18.732,0.061882,vapor
454,556.10,6.7075,34.829,0.028712,2583.8,2776.3,5.8361,2.7811,5.2126,490.54,12.368,18.760,0.062157,vapor
455,556.73,6.7701,35.190,0.028417,2583.2,2775.6,5.8315,2.7876,5.2431,490.24,12.308,18.788,0.062434,vapor
456,557.35,6.8332,35.555,0.028125,2582.6,2774.8,5.8269,2.7942,5.2740,489.93,12.248,18.816,0.062714,vapor
457,557.97,6.8967,35.924,0.027837,2582.0,2774.0,5.8222,2.8008,5.3053,489.62,12.188,18.844,0.062996,vapor
458,558.60,6.9607,36.296,0.027551,2581.4,2773.1,5.8176,2.8075,5.3370,489.30,12.129,18.872,0.063282,vapor
459,559.22,7.0251,36.672,0.027269,2580.7,2772.3,5.8129,2.8141,5.3691,488.98,12.070,18.901,0.063570,vapor
460,559.84,7.0900,37.051,0.026990,2580.1,2771.5,5.8083,2.8208,5.4017,488.66,12.012,18.929,0.063861,vapor
461,560.47,7.1553,37.435,0.026713,2579.4,2770.6,5.8036,2.8275,5.4347,488.33,11.953,18.958,0.064155,vapor
462,561.09,7.2211,37.823,0.026439,2578.8,2769.7,5.7989,2.8343,5.4682,488.00,11.895,18.987,0.064452,vapor
463,561.71,7.2873,38.214,0.026168,2578.1,2768.8,5.7942,2.8411,5.5021,487.67,11.837,19.016,0.064753,vapor
464,562.34,7.3541,38.610,0.025900,2577.4,2767.9,5.7895,2.8479,5.5365,487.33,11.780,19.045,0.065056,vapor
465,562.96,7.4212,39.009,0.025635,2576.7,2767.0,5.7848,2.8547,5.5713,486.98,11.722,19.074,0.065363,vapor
466,563.58,7.4889,39.413,0.025372,2576.0,2766.0,5.7801,2.8616,5.6067,486.63,11.665,19.104,0.065672,vapor
467,564.21,7.5570,39.821,0.025113,2575.3,2765.1,5.7753,2.8685,5.6426,486.28,11.609,19.133,0.065986,vapor
468,564.83,7.6256,40.233,0.024855,2574.6,2764.1,5.7706,2.8754,5.6789,485.92,11.552,19.163,0.066302,vapor
469,565.45,7.6947,40.649,0.024601,2573.8,2763.1,5.7658,2.8823,5.7158,485.56,11.496,19.193,0.066623,vapor
470,566.08,7.7642,41.070,0.024349,2573.1,2762.1,5.7610,2.8893,5.7533,485.20,11.440,19.223,0.066946,vapor
471,566.70,7.8343,41.495,0.024099,2572.3,2761.1,5.7562,2.8963,5.7912,484.83,11.384,19.254,0.067274,vapor
472,567.32,7.9048,41.924,0.023852,2571.5,2760.1,5.7514,2.9034,5.8298,484.45,11.329,19.284,0.067605,vapor
473,567.95,7.9758,42.358,0.023608,2570.7,2759.0,5.7466,2.9104,5.8689,484.07,11.273,19.315,0.067940,vapor
474,568.57,8.0473,42.797,0.023366,2569.9,2758.0,5.7418,2.9175,5.9086,483.69,11.218,19.346,0.068279,vapor
475,569.19,8.1193,43.240,0.023127,2569.1,2756.9,5.7370,2.9247,5.9489,483.30,11.164,19.377,0.068622,vapor
476,569.82,8.1917,43.688,0.022889,2568.3,2755.8,5.7321,2.9318,5.9898,482.91,11.109,19.409,0.068969,vapor
477,570.44,8.2647,44.141,0.022655,2567.5,2754.7,5.7272,2.9390,6.0313,482.51,11.055,19.440,0.069320,vapor
478,571.06,8.3382,44.599,0.022422,2566.6,2753.6,5.7224,2.9463,6.0735,482.11,11.001,19.472,0.069676,vapor
479,571.69,8.4121,45.061,0.022192,2565.7,2752.4,5.7175,2.9535,6.1163,481.70,10.947,19.504,0.070036,vapor
480,572.31,8.4866,45.529,0.021964,2564.8,2751.2,5.7125,2.9609,6.1599,481.29,10.893,19.536,0.070400,vapor
481,572.93,8.5616,46.001,0.021738,2563.9,2750.1,5.7076,2.9682,6.2041,480.88,10.840,19.568,0.070770,vapor
482,573.56,8.6370,46.479,0.021515,2563.0,2748.9,5.7027,2.9756,6.2490,480.45,10.787,19.601,0.071143,vapor
483,574.18,8.7130,46.962,0.021294,2562.1,2747.6,5.6977,2.9830,6.2946,480.03,10.734,19.634,0.071522,vapor
484,574.80,8.7895,47.450,0.021075,2561.2,2746.4,5.6927,2.9904,6.3410,479.60,10.681,19.667,0.071905,vapor
485,575.42,8.8666,47.944,0.020858,2560.2,2745.1,5.6877,2.9979,6.3882,479.16,10.628,19.700,0.072294,vapor
486,576.05,8.9441,48.443,0.020643,2559.2,2743.9,5.6827,3.0054,6.4361,478.72,10.576,19.734,0.072688,vapor
487,576.67,9.0221,48.947,0.020430,2558.2,2742.6,5.6777,3.0129,6.4849,478.27,10.524,19.767,0.073087,vapor
488,577.29,9.1007,49.457,0.020219,2557.2,2741.3,5.6727,3.0205,6.5345,477.82,10.472,19.802,0.073492,vapor
489,577.92,9.1798,49.973,0.020011,2556.2,2739.9,5.6676,3.0281,6.5849,477.37,10.420,19.836,0.073902,vapor
490,578.54,9.2595,50.495,0.019804,2555.2,2738.6,5.6625,3.0358,6.6362,476.90,10.368,19.870,0.074318,vapor
491,579.16,9.3396,51.022,0.019599,2554.2,2737.2,5.6574,3.0435,6.6884,476.44,10.317,19.905,0.074740,vapor
492,579.79,9.4203,51.556,0.019396,2553.1,2735.8,5.6523,3.0512,6.7415,475.97,10.266,19.940,0.075167,vapor
493,580.41,9.5016,52.095,0.019196,2552.0,2734.4,5.6472,3.0590,6.7955,475.49,10.215,19.976,0.075602,vapor
494,581.03,9.5833,52.641,0.018997,2550.9,2733.0,5.6420,3.0668,6.8505,475.00,10.164,20.012,0.076042,vapor
495,581.66,9.6657,53.193,0.018799,2549.8,2731.5,5.6368,3.0747,6.9065,474.52,10.113,20.048,0.076489,vapor
496,582.28,9.7485,53.751,0.018604,2548.7,2730.0,5.6316,3.0826,6.9636,474.02,10.063,20.084,0.076943,vapor
497,582.90,9.8319,54.316,0.018411,2547.5,2728.5,5.6264,3.0905,7.0217,473.52,10.012,20.120,0.077403,vapor
498,583.53,9.9159,54.888,0.018219,2546.4,2727.0,5.6212,3.0985,7.0808,473.02,9.9622,20.157,0.077871,vapor
499,584.15,10.000,55.466,0.018029,2545.2,2725.5,5.6159,3.1065,7.1411,472.50,9.9122,20.195,0.078346,vapor
500,584.77,10.085,56.051,0.017841,2544.0,2723.9,5.6106,3.1146,7.2025,471.99,9.8623,20.232,0.078828,vapor
501,585.40,10.171,56.643,0.017655,2542.8,2722.3,5.6053,3.1227,7.2652,471.46,9.8126,20.270,0.079318,vapor
502,586.02,10.257,57.242,0.017470,2541.5,2720.7,5.6000,3.1309,7.3290,470.93,9.7630,20.308,0.079816,vapor
503,586.64,10.344,57.848,0.017287,2540.3,2719.1,5.5947,3.1391,7.3941,470.40,9.7136,20.347,0.080323,vapor
504,587.27,10.431,58.461,0.017105,2539.0,2717.4,5.5893,3.1473,7.4605,469.86,9.6644,20.386,0.080837,vapor
505,587.89,10.519,59.082,0.016926,2537.7,2715.8,5.5839,3.1556,7.5282,469.31,9.6153,20.425,0.081360,vapor
506,588.51,10.608,59.710,0.016748,2536.4,2714.1,5.5784,3.1639,7.5972,468.76,9.5663,20.465,0.081892,vapor
507,589.14,10.697,60.347,0.016571,2535.1,2712.3,5.5730,3.1723,7.6677,468.20,9.5174,20.505,0.082433,vapor
508,589.76,10.786,60.991,0.016396,2533.7,2710.6,5.5675,3.1808,7.7397,467.63,9.4687,20.545,0.082984,vapor
509,590.38,10.877,61.642,0.016223,2532.4,2708.8,5.5620,3.1893,7.8132,467.06,9.4201,20.586,0.083544,vapor
510,591.01,10.967,62.303,0.016051,2531.0,2707.0,5.5565,3.1978,7.8882,466.48,9.3717,20.628,0.084114,vapor
511,591.63,11.059,62.971,0.015880,2529.5,2705.2,5.5509,3.2064,7.9648,465.89,9.3233,20.669,0.084695,vapor
512,592.25,11.151,63.648,0.015711,2528.1,2703.3,5.5453,3.2150,8.0431,465.30,9.2751,20.711,0.085286,vapor
513,592.88,11.243,64.333,0.015544,2526.7,2701.4,5.5397,3.2237,8.1231,464.70,9.2270,20.754,0.085887,vapor
514,593.50,11.336,65.028,0.015378,2525.2,2699.5,5.5340,3.2325,8.2049,464.09,9.1790,20.797,0.086501,vapor
515,594.12,11.430,65.731,0.015214,2523.7,2697.6,5.5284,3.2413,8.2885,463.48,9.1311,20.841,0.087125,vapor
516,594.74,11.525,66.444,0.015050,2522.2,2695.6,5.5226,3.2501,8.3740,462.86,9.0833,20.885,0.087762,vapor
517,595.37,11.620,67.165,0.014889,2520.6,2693.6,5.5169,3.2590,8.4615,462.23,9.0356,20.929,0.088411,vapor
518,595.99,11.715,67.897,0.014728,2519.0,2691.6,5.5111,3.2680,8.5511,461.59,8.9880,20.974,0.089073,vapor
519,596.61,11.811,68.638,0.014569,2517.4,2689.5,5.5053,3.2770,8.6427,460.95,8.9405,21.020,0.089748,vapor
520,597.24,11.908,69.389,0.014412,2515.8,2687.4,5.4995,3.2861,8.7365,460.30,8.8930,21.066,0.090436,vapor
521,597.86,12.006,70.150,0.014255,2514.2,2685.3,5.4936,3.2953,8.8326,459.64,8.8457,21.112,0.091139,vapor
522,598.48,12.104,70.921,0.014100,2512.5,2683.2,5.4877,3.3045,8.9311,458.98,8.7984,21.159,0.091856,vapor
523,599.11,12.202,71.703,0.013946,2510.8,2681.0,5.4817,3.3137,9.0320,458.30,8.7512,21.207,0.092588,vapor
524,599.73,12.302,72.496,0.013794,2509.1,2678.8,5.4757,3.3231,9.1354,457.62,8.7041,21.255,0.093336,vapor
525,600.35,12.402,73.300,0.013642,2507.3,2676.5,5.4697,3.3325,9.2414,456.93,8.6570,21.304,0.094100,vapor
526,600.98,12.502,74.116,0.013492,2505.6,2674.3,5.4636,3.3419,9.3502,456.24,8.6100,21.354,0.094880,vapor
527,601.60,12.604,74.943,0.013344,2503.8,2671.9,5.4575,3.3515,9.4619,455.53,8.5630,21.404,0.095678,vapor
528,602.22,12.705,75.781,0.013196,2501.9,2669.6,5.4514,3.3611,9.5765,454.81,8.5161,21.455,0.096493,vapor
529,602.85,12.808,76.632,0.013049,2500.1,2667.2,5.4452,3.3708,9.6942,454.09,8.4692,21.506,0.097327,vapor
530,603.47,12.911,77.495,0.012904,2498.2,2664.8,5.4389,3.3805,9.8152,453.36,8.4224,21.558,0.098180,vapor
531,604.09,13.015,78.371,0.012760,2496.3,2662.3,5.4327,3.3904,9.9394,452.62,8.3756,21.611,0.099053,vapor
532,604.72,13.119,79.260,0.012617,2494.3,2659.8,5.4263,3.4003,10.067,451.87,8.3289,21.665,0.099947,vapor
533,605.34,13.225,80.163,0.012475,2492.3,2657.3,5.4200,3.4103,10.199,451.11,8.2821,21.719,0.10086,vapor
534,605.96,13.331,81.079,0.012334,2490.3,2654.7,5.4135,3.4203,10.334,450.34,8.2354,21.775,0.10180,vapor
535,606.59,13.437,82.009,0.012194,2488.2,2652.1,5.4071,3.4305,10.473,449.56,8.1887,21.831,0.10276,vapor
536,607.21,13.544,82.953,0.012055,2486.2,2649.4,5.4006,3.4407,10.617,448.77,8.1420,21.888,0.10374,vapor
537,607.83,13.652,83.913,0.011917,2484.0,2646.7,5.3940,3.4510,10.764,447.97,8.0953,21.945,0.10475,vapor
538,608.46,13.761,84.887,0.011780,2481.9,2644.0,5.3874,3.4614,10.917,447.16,8.0486,22.004,0.10578,vapor
539,609.08,13.870,85.877,0.011645,2479.7,2641.2,5.3807,3.4719,11.074,446.34,8.0019,22.063,0.10685,vapor
540,609.70,13.980,86.883,0.011510,2477.5,2638.4,5.3739,3.4825,11.236,445.51,7.9552,22.124,0.10794,vapor
541,610.33,14.090,87.906,0.011376,2475.2,2635.5,5.3671,3.4932,11.403,444.67,7.9084,22.185,0.10905,vapor
542,610.95,14.202,88.945,0.011243,2472.9,2632.6,5.3603,3.5040,11.576,443.82,7.8617,22.248,0.11020,vapor
543,611.57,14.314,90.002,0.011111,2470.6,2629.6,5.3534,3.5149,11.755,442.96,7.8149,22.311,0.11138,vapor
544,612.20,14.427,91.076,0.010980,2468.2,2626.6,5.3464,3.5259,11.940,442.08,7.7680,22.376,0.11259,vapor
545,612.82,14.540,92.170,0.010850,2465.7,2623.5,5.3394,3.5370,12.131,441.19,7.7211,22.442,0.11384,vapor
546,613.44,14.654,93.282,0.010720,2463.3,2620.4,5.3323,3.5483,12.329,440.29,7.6742,22.508,0.11513,vapor
547,614.06,14.769,94.414,0.010592,2460.8,2617.2,5.3251,3.5596,12.535,439.38,7.6271,22.577,0.11645,vapor
548,614.69,14.885,95.566,0.010464,2458.2,2614.0,5.3178,3.5711,12.748,438.46,7.5800,22.646,0.11781,vapor
549,615.31,15.001,96.739,0.010337,2455.6,2610.7,5.3105,3.5827,12.969,437.52,7.5328,22.716,0.11921,vapor
550,615.93,15.118,97.933,0.010211,2452.9,2607.3,5.3031,3.5944,13.198,436.56,7.4856,22.788,0.12065,vapor
551,616.56,15.236,99.150,0.010086,2450.2,2603.9,5.2956,3.6063,13.437,435.60,7.4382,22.862,0.12214,vapor
552,617.18,15.355,100.39,0.0099612,2447.5,2600.4,5.2881,3.6183,13.685,434.62,7.3907,22.937,0.12367,vapor
553,617.80,15.474,101.65,0.0098374,2444.7,2596.9,5.2804,3.6304,13.943,433.62,7.3431,23.013,0.12526,vapor
554,618.43,15.594,102.94,0.0097143,2441.8,2593.3,5.2727,3.6427,14.212,432.61,7.2954,23.091,0.12689,vapor
555,619.05,15.715,104.25,0.0095919,2438.9,2589.6,5.2649,3.6552,14.493,431.58,7.2475,23.170,0.12858,vapor
556,619.67,15.837,105.60,0.0094701,2435.9,2585.9,5.2570,3.6678,14.786,430.54,7.1995,23.251,0.13033,vapor
557,620.30,15.959,106.96,0.0093490,2432.9,2582.1,5.2490,3.6806,15.093,429.48,7.1513,23.334,0.13214,vapor
558,620.92,16.082,108.36,0.0092286,2429.8,2578.2,5.2409,3.6936,15.413,428.40,7.1029,23.419,0.13401,vapor
559,621.54,16.206,109.79,0.0091087,2426.6,2574.2,5.2327,3.7068,15.749,427.31,7.0543,23.506,0.13594,vapor
560,622.17,16.331,111.24,0.0089894,2423.4,2570.2,5.2243,3.7202,16.101,426.19,7.0055,23.595,0.13795,vapor
561,622.79,16.457,112.73,0.0088707,2420.1,2566.1,5.2159,3.7338,16.470,425.06,6.9565,23.686,0.14003,vapor
562,623.41,16.583,114.25,0.0087525,2416.7,2561.8,5.2074,3.7476,16.858,423.90,6.9073,23.779,0.14219,vapor
563,624.04,16.710,115.81,0.0086348,2413.3,2557.5,5.1987,3.7617,17.267,422.73,6.8578,23.874,0.14444,vapor
564,624.66,16.838,117.40,0.0085176,2409.7,2553.2,5.1899,3.7760,17.699,421.53,6.8080,23.972,0.14677,vapor
565,625.28,16.967,119.04,0.0084008,2406.1,2548.7,5.1810,3.7905,18.154,420.31,6.7580,24.073,0.14920,vapor
566,625.91,17.097,120.71,0.0082844,2402.4,2544.1,5.1719,3.8054,18.635,419.07,6.7076,24.176,0.15172,vapor
567,626.53,17.227,122.42,0.0081684,2398.7,2539.4,5.1627,3.8205,19.145,417.80,6.6569,24.282,0.15436,vapor
568,627.15,17.358,124.18,0.0080528,2394.8,2534.6,5.1534,3.8360,19.687,416.50,6.6058,24.391,0.15711,vapor
569,627.78,17.490,125.98,0.0079375,2390.8,2529.7,5.1438,3.8518,20.263,415.18,6.5543,24.503,0.15998,vapor
570,628.40,17.623,127.84,0.0078224,2386.8,2524.6,5.1341,3.8680,20.877,413.83,6.5024,24.619,0.16298,vapor
571,629.02,17.757,129.74,0.0077076,2382.6,2519.5,5.1243,3.8845,21.533,412.44,6.4501,24.738,0.16612,vapor
572,629.65,17.892,131.70,0.0075930,2378.3,2514.2,5.1142,3.9015,22.236,411.03,6.3972,24.861,0.16941,vapor
573,630.27,18.028,133.72,0.0074785,2373.9,2508.7,5.1040,3.9190,22.990,409.58,6.3438,24.988,0.17287,vapor
574,630.89,18.164,135.79,0.0073641,2369.4,2503.1,5.0935,3.9369,23.802,408.10,6.2899,25.120,0.17651,vapor
575,631.52,18.301,137.94,0.0072497,2364.7,2497.4,5.0828,3.9554,24.680,406.57,6.2353,25.256,0.18034,vapor
576,632.14,18.440,140.15,0.0071353,2359.9,2491.5,5.0719,3.9744,25.631,405.01,6.1801,25.397,0.18438,vapor
577,632.76,18.579,142.43,0.0070208,2354.9,2485.4,5.0607,3.9941,26.665,403.39,6.1241,25.543,0.18865,vapor
578,633.39,18.719,144.80,0.0069061,2349.8,2479.1,5.0492,4.0145,27.794,401.74,6.0674,25.696,0.19318,vapor
579,634.01,18.860,147.25,0.0067911,2344.5,2472.6,5.0375,4.0357,29.032,400.03,6.0097,25.854,0.19799,vapor
580,634.63,19.002,149.80,0.0066758,2339.1,2465.9,5.0254,4.0578,30.397,398.26,5.9511,26.020,0.20311,vapor
581,635.25,19.145,152.44,0.0065600,2333.4,2459.0,5.0130,4.0808,31.908,396.43,5.8914,26.192,0.20857,vapor
582,635.88,19.289,155.19,0.0064436,2327.5,2451.8,5.0002,4.1050,33.592,394.54,5.8305,26.374,0.21443,vapor
583,636.50,19.433,158.07,0.0063264,2321.4,2444.3,4.9870,4.1303,35.480,392.57,5.7684,26.564,0.22073,vapor
584,637.12,19.579,161.07,0.0062083,2315.0,2436.5,4.9733,4.1571,37.613,390.52,5.7047,26.764,0.22754,vapor
585,637.75,19.726,164.23,0.0060892,2308.3,2428.4,4.9591,4.1855,40.042,388.37,5.6394,26.975,0.23493,vapor
586,638.37,19.874,167.54,0.0059687,2301.3,2419.9,4.9444,4.2157,42.834,386.13,5.5722,27.200,0.24298,vapor
587,638.99,20.023,171.04,0.0058465,2293.9,2411.0,4.9291,4.2481,46.077,383.76,5.5028,27.439,0.25183,vapor
588,639.62,20.173,174.75,0.0057224,2286.1,2401.6,4.9130,4.2831,49.892,381.26,5.4310,27.694,0.26162,vapor
589,640.24,20.324,178.70,0.0055960,2277.9,2391.6,4.8961,4.3212,54.443,378.59,5.3562,27.969,0.27255,vapor
590,640.86,20.476,182.93,0.0054666,2269.1,2381.0,4.8782,4.3631,59.966,375.74,5.2782,28.267,0.28486,vapor
591,641.49,20.629,187.49,0.0053337,2259.6,2369.7,4.8593,4.4095,66.806,372.65,5.1961,28.594,0.29892,vapor
592,642.11,20.783,192.44,0.0051964,2249.4,2357.4,4.8390,4.4617,75.487,369.29,5.1092,28.954,0.31521,vapor
593,642.73,20.939,197.88,0.0050537,2238.3,2344.1,4.8170,4.5213,86.846,365.57,5.0166,29.358,0.33445,vapor
594,643.36,21.096,203.92,0.0049039,2226.0,2329.5,4.7930,4.5907,102.30,361.38,4.9167,29.819,0.35771,vapor
595,643.98,21.254,210.75,0.0047449,2212.3,2313.1,4.7664,4.6734,124.43,356.58,4.8078,30.357,0.38677,vapor
596,644.60,21.413,218.66,0.0045734,2196.6,2294.5,4.7363,4.7752,158.46,350.89,4.6872,31.006,0.42469,vapor
597,645.23,21.574,228.10,0.0043840,2178.0,2272.6,4.7013,4.9063,216.60,343.84,4.5508,31.827,0.47755,vapor
598,645.85,21.736,240.01,0.0041664,2155.1,2245.7,4.6585,5.0887,335.64,334.45,4.3918,32.950,0.56016,vapor
599,646.47,21.899,256.85,0.0038933,2123.8,2209.0,4.6008,5.3913,701.70,319.80,4.1939,34.765,0.72825,vapor
600,647.10,22.064,322.00,0.0031056,2015.7,2084.3,4.4070,undefined,undefined,undefined,3.7410,94.111,undefined,vapor
